Ticker,Description,Price,Change %,Change,Bid,Ask,High,Low,Technical Rating
USD / HUF,美元 / 匈牙利福林,390.88,0.12551551,0.49,390.8,391.3,390.94,390.13,Sell
USD / INR,美元 / 印度卢比,87.535,0.250813138,0.219,87.53,87.54,87.5675,87.316,Strong Buy
USD / MXN,美元 / 墨西哥比索,20.5822,0.088504182,0.0182,20.5822,20.5897,20.603,20.559,Strong Buy
USD / NOK,美元 / 挪威克朗,11.24274,0.203388259,0.02282,11.24238,11.24743,11.24346,11.21338,Neutral
USD / PLN,美元 / 波兰兹罗提,4.0442,0.262792543,0.0106,4.04617,4.04805,4.0469,4.03149,Sell
USD / RON,美元 / 罗马尼亚列伊,4.7868,0.129690834,0.0062,4.7865,4.7915,4.787,4.781,Buy
USD / RUB,美元 / 俄罗斯卢布,98.0101,0.043381689,0.0425,98.0101,98.0181,98.0415,97.4,Sell
USD / SAR,美元 / 沙特里亚尔,3.7476,0,0,3.7476,3.7481,3.7476,3.747,Sell
USD / SEK,美元 / 瑞典克朗,10.91858,0.128202777,0.01398,10.91825,10.9233,10.9218,10.9017,Neutral
USD / SGD,美元 / 新加坡元,1.35054,0.149051189,0.00201,1.3505,1.35065,1.3506,1.34789,Sell
USD / THB,美元 / 泰铢,33.652,0.453731343,0.152,33.653,33.668,33.673,33.52,Sell
USD / TRY,美元 / 土耳其里拉,35.9066,-0.003620373,-0.0013,35.8891,35.8954,35.9164,35.8318,Buy
USD / ZAR,美元 / 南非兰特,18.5669,0.042566949,0.0079,18.565,18.575,18.5763,18.524,Neutral
ZAR / JPY,南非兰特 / 日元,8.187,-0.255847953,-0.021,8.185,8.21,8.235,8.187,Sell
