Ticker,Description,Price,Change %,Change,Bid,Ask,High,Low,Technical Rating
USD / HKD,美元 / 港元,7.78735,0.014769721,0.00115,7.7874,7.7884,7.78842,7.78566,Buy
USD / HNL,美元 / 洪都拉斯伦皮拉,25.4903,0,0,25.4903,25.5903,25.4903,25.4903,Buy
USD / HTG,美元 / 海地古德,130.18,0,0,130.18,135.18,130.18,130.18,Neutral
USD / HUF,美元 / 匈牙利福林,390.66,0.069161608,0.27,390.73,390.93,390.94,390.13,Sell
USD / IDR,美元 / 印尼盾,16322,0.264143989,43,16319,16329,16327,16269,Buy
USD / ILS,美元 / 以色列谢克尔,3.5328,-0.178011359,-0.0063,3.5328,3.5444,3.544,3.5328,Strong Sell
USD / INR,美元 / 印度卢比,87.489,0.198130927,0.173,87.5225,87.5325,87.5675,87.316,Strong Buy
USD / IQD,美元 / 伊拉克第纳尔,1309,0,0,1309,1311,1309,1309,Buy
USD / IRR,美元 / 伊朗里亚尔,42000,0,0,42000,42005,42025,42000,Sell
USD / ISK,美元 / 冰岛克朗,141.1,0.248667851,0.35,141.1,141.4,141.1,141.1,Buy
USD / ITL,美元 / 意大利里拉,1863,0.107469103,2,1863,1863,1864,1860,Buy
USD / JMD,美元 / 牙买加元,157.19,0.050919738,0.08,157.19,158.09,157.19,157.127,Strong Buy
USD / JOD,美元 / 约旦第纳尔,0.7093,0,0,0.7093,0.7108,0.7093,0.7093,Buy
USD / JPY,美元 / 日元,152.188,-0.256914406,-0.392,152.188,152.201,152.751,151.814,Strong Sell
USD / KES,美元 / 肯尼亚先令,129.21,0,0,129.21,129.5,129.21,129.21,Sell
USD / KGS,美元 / 吉尔吉斯斯坦索姆,87.425,0,0,87.425,87.475,87.425,87.425,Buy
USD / KHR,美元 / 柬埔寨瑞尔,4007,0,0,4007,4017,4009,4007,Sell
USD / KMF,美元 / 科摩罗法郎,472.22,0,0,472.22,473.17,472.22,472.22,Sell
USD / KPW,美元 / 朝鲜元,900,0,0,900,900,900,900,Neutral
USD / KRW,美元 / 韩元,1447.86,0.285369942,4.12,1447.78,1448.78,1449.7,1442.83,Buy
USD / KWD,美元 / 科威特第纳尔,0.3082,0,0,0.3082,0.3102,0.3082,0.3082,Buy
USD / KYD,美元 / 开曼元,0.82,0,0,0.82,0.82,0.82,0.82,Neutral
USD / KZT,美元 / 哈萨克斯坦坚戈,516.73,0,0,516.73,516.78,516.73,515.73,Sell
USD / LAK,美元 / 老挝基普,21620,0,0,21620,21650,21620,21620,Sell
USD / LBP,美元 / 黎巴嫩镑,89500,0,0,89500,89600,89500,89500,Buy
USD / LKR,美元 / 斯里兰卡卢比,298.37,-0.033504205,-0.1,298.37,298.73,298.55,298.37,Buy
USD / LRD,美元 / 利比里亚元,196.266,0,0,196.266,198.266,196.266,196.266,Buy
USD / LSL,美元 / 巴索托洛特,18.41,-1.655982906,-0.31,18.41,18.43,18.41,18.41,Sell
USD / LUF,美元 / 卢森堡法郎,38.81,0.103172556,0.04,38.81,38.81,38.83,38.75,Buy
USD / LYD,美元 / 利比亚第纳尔,4.9002,0,0,4.9002,4.9202,4.9002,4.9002,Neutral
USD / MAD,美元 / 摩洛哥迪拉姆,9.9908,-0.139932832,-0.014,10.0103,10.0153,10.0213,9.9908,Sell
USD / MDL,美元 / 摩尔多瓦列伊,18.59,0,0,18.59,18.69,18.59,18.59,Buy
USD / MGA,美元 / 马达加斯加阿里亚里,4689.27,0,0,4689.27,4719.27,4689.27,4689.27,Strong Buy
USD / MKD,美元 / 马其顿第纳尔,58.8,0,0,58.8,59.1,58.8,58.8,Sell
USD / MMK,美元 / 缅元,2093.6799,0,0,2093.6799,2103.6799,2093.6799,2093.6799,Neutral
USD / MNT,美元 / 蒙古图格里克,3453.67,0,0,3453.67,3460.67,3453.67,3453.67,Buy
USD / MOP,美元 / 澳门元,8.021,0.021198858,0.0017,8.021,8.0218,8.0213,8.0198,Buy
USD / MRU,美元 / 毛里塔尼亚乌吉亚,39.92,0,0,39.92,40.42,39.92,39.92,Buy
USD / MUR,美元 / 毛里求斯卢比,46.5251,-0.01053084,-0.0049,46.5251,46.8896,46.82,46.5251,Sell
USD / MVR,美元 / 马尔代夫拉菲亚,15.42,0,0,15.42,15.5,15.42,15.33,Buy
USD / MWK,美元 / 马拉维克瓦查,1717.0232,0,0,1717.0232,1750.3232,1717.0232,1717.0232,Buy
USD / MXN,美元 / 墨西哥比索,20.58338,0.094242365,0.01938,20.58,20.61,20.603,20.559,Strong Buy
USD / MYR,美元 / 马来西亚林吉特,4.4215,0.033936652,0.0015,4.4215,4.4305,4.426,4.417,Sell
USD / MZN,美元 / 莫桑比克梅蒂卡尔,63.27,0,0,63.27,63.87,63.27,63.27,Strong Buy
